url,role,current_title,kw_principal,kw_secundarias,intention,priority,justification,volumen_es,kd,notes
/kit-digital-fideltour/,subvention,Kit Digital Next Generation EU,kit digital hoteles,ayudas digitalización hotel|subvenciones marketing hotelero|kit digital sector turístico,transactional,P0,"Subvención pública española. KW alta intención + estacional. ES only (no aplica LATAM).",,,
/fideltour/,branded,Sobre Fideltour · CDP para hoteles,Fideltour,Fideltour CDP|Fideltour empresa|quién es Fideltour,navigational,P0,"About page. KW branded — debe rankear nº1 sí o sí (sin competencia).",,,
/partners/,affiliate,Partners · Programa de afiliación Fideltour,programa partners hoteles,afiliación hoteles tecnología|partners marketing hotelero|programa revenue share hoteles,commercial,P2,"Programa afiliación. Audiencia muy nicho (consultores, agencias hoteleras). Volumen bajo esperable, long-tail.",,,
/integracion-portal-cautivo-para-hoteles/,module-data-import,Integración con portal cautivo (en core sitemap),portal cautivo para hoteles,portal cautivo wifi hoteles|integración portal cautivo hotelero|captura datos wifi hotel,commercial,P1,"Módulo Data Import. Slug ya optimizado. Patrón {producto} para hoteles.",,,
/integracion-pms-para-hoteles/,module-data-import,Integración con tu PMS · CDP para hoteles,integración PMS para hoteles,integración PMS hotel|conectar PMS hotel|conectores PMS hoteleros,commercial,P0,"Módulo Data Import core. Alta demanda en sector. Patrón {producto} para hoteles.",,,
/integracion-motor-de-reservas-para-hoteles/,module-data-import,Integración de motor de reservas para hoteles,integración motor de reservas para hoteles,motor de reservas para hoteles|booking engine para hoteles|integración booking engine hotelero,commercial,P0,"Módulo Data Import core. KW principal alineada con slug + title. Secundarias capturan también la variante product-broad 'motor de reservas para hoteles'.",,,
/integracion-chatbot-hoteles/,module-data-import,Integración de chatbot para hoteles,chatbot para hoteles,integración chatbot hotelero|chatbot hotel huéspedes|chatbot pre-reserva hotel,commercial,P1,"Módulo Data Import. Demanda creciente con la ola IA conversacional.",,,
/integracion-bi-hoteles/,module-data-import,Integración de BI & Analytics para hoteles,BI para hoteles,business intelligence hotelero|BI hoteles dashboards|integración BI hoteles,commercial,P1,"Módulo Data Import. Diferenciar de /reporting-y-analytics-para-hoteles/: este es INPUT (data warehouse conectado), aquel es OUTPUT (dashboards listos).",,,
/integracion-pagina-web-para-hoteles/,module-data-import,Integración de página web para hoteles,integración web para hoteles,tracking web hotelero|píxel web hotel|integración web hoteles first-party,commercial,P1,"Módulo Data Import. Tracking first-party post-cookies.",,,
/crm-hoteles/,module-data-intelligence,CRM para hoteles · Del CRM al CDP,CRM para hoteles,CRM hotelero|software CRM hotel|CRM huéspedes hotel,commercial,P0,"Módulo core Data Intelligence. La KW más buscada del sector hotelero pre-CDP. Battle obvio vs Cendyn/Revinate.",,,
/b2b-para-hoteles/,module-data-intelligence,Sales B2B para hoteles,CRM B2B para hoteles,CRM B2B hotelero|comercial B2B hotel|gestión cuentas corporate hotel,commercial,P1,"Módulo Data Intelligence. Audiencia: comercial B2B hotelero (corporate, agencias, grupos). Diferenciación clara con /crm-hoteles/ (broad, foco huésped/B2C).",,,
/guest-id-para-hoteles/,module-data-intelligence,Identity para hoteles · Identifica al huésped desde la primera visita,identificación de huéspedes para hoteles,guest ID hotel|perfil único huésped|identidad huésped hotel,commercial,P1,"Módulo Data Intelligence. Patrón {producto} para hoteles aplicado. Evita el anglicismo 'guest ID' como principal (queda en secundaria por cobertura semántica).",,,
/encuestas-hoteles/,module-data-intelligence,Encuestas y reviews para hoteles,encuestas para hoteles,encuestas satisfacción hoteles|reputación online hoteles|gestión reviews hotelero,commercial,P1,"Módulo Data Intelligence. Patrón {producto} para hoteles. Competencia fuerte (ReviewPro, TrustYou).",,,
/inteligencia-artificial-para-hoteles/,module-data-intelligence,Inteligencia artificial para hoteles,IA para hoteles,inteligencia artificial hotelera|IA gestión hotelera|machine learning hotel,informational,P1,"Módulo Data Intelligence. KW informational mezcla con commercial. Tendencia 2026.",,,
/reporting-y-analytics-para-hoteles/,module-data-intelligence,Data Reporting & Analytics para hoteles,analytics para hoteles,reporting hotelero|dashboards hoteleros|reporting hotel tiempo real,commercial,P1,"Módulo Data Intelligence. Diferenciar de /integracion-bi-hoteles/: este es OUTPUT (dashboards listos), aquel es INPUT (data warehouse).",,,
/marketing-hoteles/,module-data-activation,Campaigns: marketing para hoteles,marketing para hoteles,campañas marketing hotelero|marketing digital hoteles|campañas hoteles segmentadas,commercial,P0,"Módulo Data Activation core. KW broad-commercial. Alta competencia esperada.",,,
/marketing-automation-para-hoteles/,module-data-activation,Marketing Automation para hoteles,marketing automation para hoteles,automatización marketing hotelero|flujos marketing hotel|automation huésped hotel,commercial,P1,"Módulo Data Activation. PENDIENTE: implementación landing (Fase 1.2 plan v2). KW reservada. Bajado de P0 a P1 hasta que la landing exista.",,,
/landing-page-hoteles/,module-data-activation,Landing pages y formularios para hoteles,landing pages para hoteles,landing pages hoteleras|formularios captación hotel|landings segmentadas hotel,commercial,P1,"Módulo Data Activation. KW táctica. Volumen bajo-medio esperable.",,,
/fidelizacion-hoteles/,module-data-activation,Fideltour Rewards: programa de fidelización para hoteles,programa de fidelización para hoteles,fidelización huéspedes hotel|loyalty hotelero|programa puntos hotel,commercial,P0,"Módulo Data Activation core. Patrón {producto} para hoteles aplicado (mantiene 'programa' por intención commercial). Battle vs Revinate Loyalty.",,,
/redes-sociales-hoteles/,module-data-activation,Redes sociales para hoteles,redes sociales para hoteles,marketing redes sociales hotelero|audiencias ads hotel|Meta Ads para hoteles,commercial,P1,"Módulo Data Activation. KW transversal — diferenciador es integración con CDP.",,,
/experiencias-para-hoteles/,module-data-activation,Experiencias y ancillaries para hoteles,experiencias para hoteles,venta experiencias hotel|upsell experiencias hotel|ancillaries hotel,commercial,P1,"Módulo Data Activation. Cambiado de 'ancillaries para hoteles' (anglicismo) a 'experiencias para hoteles' (más natural ES).",,,
/email-para-hoteles/,module-multicanalidad,Email marketing para hoteles,email marketing para hoteles,email hotelero|newsletter hotel|campañas email hoteleras,commercial,P0,"Módulo Multicanalidad core. Una de las KW más buscadas del sector. Alta competencia, ROI claro.",,,
/whatsapp-para-hoteles/,module-multicanalidad,WhatsApp para hoteles,WhatsApp para hoteles,WhatsApp hotelero|WhatsApp Business hotel|atención WhatsApp huéspedes,commercial,P0,"Módulo Multicanalidad core. Demanda creciente fuerte. KW directo + alta intención.",,,
/sms-para-hoteles/,module-multicanalidad,SMS para hoteles · Comunica mejor y aumenta la fidelización,SMS para hoteles,SMS hotelero|SMS confirmación reserva hotel|SMS check-in hotel,commercial,P1,"Módulo Multicanalidad. KW táctica. Volumen medio-bajo, intención alta.",,,
/web-push-para-hoteles/,module-multicanalidad,Web Push para hoteles,web push para hoteles,notificaciones web hotelero|push web hotel|web push recovery hotel,commercial,P2,"Módulo Multicanalidad. KW long-tail. Volumen bajo esperable.",,,
/app-push-para-hoteles/,module-multicanalidad,App Push para hoteles,app push para hoteles,notificaciones app hotelera|app push huésped hotel|engagement app hotel,commercial,P2,"Módulo Multicanalidad. KW long-tail similar a web-push.",,,
/blog/marketing/como-aumentar-venta-directa-hotel/,blog-pillar,(RESERVADO: post a redactar),cómo aumentar venta directa hotel,reducir comisiones OTAs hotel|estrategias venta directa hotelera|aumentar reservas directas hotel,informational,P0,"TOP-OF-FUNNEL core. Cubre el JOB principal del hotelero (problema antes de la solución). RESERVADO hasta firmar Fase 0.",,,
/blog/marketing/como-reducir-dependencia-ota-hoteles/,blog-pillar,(RESERVADO: post a redactar),cómo reducir dependencia OTAs,estrategia anti-OTAs hotel|romper dependencia Booking hotel|reducir comisión OTAs hotelero,informational,P0,"TOP-OF-FUNNEL: el dolor principal del sector (>20% comisión). Alta intención problem-aware. RESERVADO.",,,
/blog/fidelizacion/estrategia-fidelizacion-hotelera/,blog-pillar,(RESERVADO: post a redactar),estrategia fidelización hotel,fidelizar clientes hotel guía|programa fidelización hotelero estrategia|loyalty hotel guía,informational,P1,"TOP-OF-FUNNEL mid-tier. Guía estratégica vs táctica. Complementa /fidelizacion-hoteles/ (product) con la capa educativa.",,,
/blog/crm/como-unificar-datos-hotel-cdp/,blog-pillar,(RESERVADO: post a redactar),cómo unificar datos hotel,unificar dato hotelero guía|integrar datos hotel PMS CRM|perfil único huésped guía,informational,P1,"TOP-OF-FUNNEL técnico. Apoya pillar /cdp-para-hoteles/ con el 'cómo'. RESERVADO.",,,
/blog/fideltour/que-es-venta-directa-hotelera/,blog-pillar,(RESERVADO: post a redactar),qué es venta directa hotelera,venta directa hotel definición|venta directa vs OTAs hotel|importancia venta directa hotelera,informational,P2,"TOP-OF-FUNNEL awareness. Glosario para no-iniciados. RESERVADO.",,,
/blog/crm/alternativa-revinate-cdp-hoteles/,blog-comparative,(RESERVADO: post a redactar),alternativa a Revinate,Revinate vs Fideltour|competidor Revinate español|alternativa CRM hotelero a Revinate,commercial,P1,"BOTTOM-FUNNEL high-intent. Captura tráfico de evaluación activa. RESERVADO. Riesgo: Revinate puede objetar — revisar marca/legal antes de publicar.",,,
/blog/crm/alternativa-cendyn-cdp-hoteles-espanol/,blog-comparative,(RESERVADO: post a redactar),alternativa a Cendyn,Cendyn vs Fideltour|competidor Cendyn español|alternativa Cendyn hoteles,commercial,P1,"BOTTOM-FUNNEL high-intent. Cendyn es referente histórico de CRM hotelero — alta búsqueda comparativa esperada. RESERVADO.",,,
/blog/crm/fideltour-vs-cendyn-comparativa/,blog-comparative,(RESERVADO: post a redactar),Fideltour vs Cendyn,comparativa CDP hotelero Cendyn|Cendyn vs Fideltour análisis|migrar de Cendyn a CDP,commercial,P2,"MID-FUNNEL comparativo head-to-head. Lector ya evalúa ambos. RESERVADO.",,,
/blog/crm/alternativa-dailypoint-cdp-hoteles/,blog-comparative,(RESERVADO: post a redactar),alternativa a dailypoint,dailypoint vs Fideltour|competidor dailypoint en español|alternativa CDM hotelero,commercial,P2,"BOTTOM-FUNNEL. dailypoint es referente CDP germano expandiendo a hispano. RESERVADO.",,,
